scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
14827,630.7075623107991,606.9934445796388,1339.1511222189285,True,72.22318445911144,direction,36.62484474473455,18.312422372367276,634.9747232534621,0.2544492811596797,True,True
14828,631.0319995721177,597.9658883457996,1194.4076445101568,True,71.11731193354338,direction,36.95628718503123,18.478143592515615,617.7106369559707,0.261934406019634,True,True
14829,1138.7991482053887,648.4394170024576,1388.4063650672417,True,60.94101753784528,direction,63.573896874522774,31.786948437261387,1146.3819764566035,-0.4311094022923232,True,True
14830,761.0337155646629,590.0044855979138,1082.4464533555815,True,85.35508909300148,direction,35.07313618825238,17.53656809412619,760.5243754314922,0.2000151914263597,True,True
14831,347.4344572631104,747.7123539795583,1124.3495489851703,True,51.95223820709162,direction,45.052874672633756,22.526437336316878,348.6798921036151,0.37857705259227714,True,True
14832,951.7525853876417,577.8338966298551,1239.1256849043637,True,77.41136342602744,direction,43.43747290136051,21.718736450680254,944.5817405616084,-0.24676430152070772,True,True
14833,1012.7130161547707,600.0190484055971,1470.4950145641872,True,71.5003975772063,direction,49.97582715077925,24.987913575389626,1020.375948473574,-0.3059239921385206,True,True
14834,354.43515089001204,742.3634620505082,1045.7079972623674,True,52.098464003605095,direction,44.482272253862554,22.241136126931277,363.68579635131954,0.3720709992167599,True,True
14835,515.3552378687359,655.925366286847,1393.3766634028443,True,63.26203108591419,direction,39.126531790028515,19.563265895014258,526.5953736967806,0.3014389074681958,True,True
14836,859.9701160791864,585.5493379145403,1007.1264950944344,True,85.305962468216,direction,37.56630846875709,18.783154234378546,862.1346034547936,-0.19620149483959803,True,True
14837,657.0603954971435,594.4267315380698,1122.6033977308437,True,74.02939143338118,direction,36.24238309584791,18.121191547923956,656.9540091749057,0.24491980496145516,True,True
14838,373.01655451434493,723.0607731313854,1389.2353676211048,True,51.195286807769946,direction,44.24796903359748,22.12398451679874,369.9360538851757,0.3693610986033491,True,True
14839,980.0822586174576,593.4592232218898,1140.361663523479,True,74.4037509176303,direction,46.886156534468824,23.443078267234412,986.2273850220054,-0.2777677824484126,True,True
14840,550.1332960658929,635.4987228189075,1134.6975134806046,True,65.18137845655565,direction,38.503103066840005,19.251551533420002,550.0711459971583,0.291260605308139,True,True
