scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
0,700.239087606105,589.6905583140933,1389.5046471222888,True,78.69233163916392,direction,35.70550639505138,17.85275319752569,693.689099768531,0.2289927101186322,True,True
1,874.5463430976835,566.5038051067485,1156.6953927051168,True,85.03493849045704,direction,37.83755448311343,18.918777241556715,866.3471975609286,-0.19843638771751237,True,True
2,1437.44853679873,845.1966642400325,1494.5476480562077,True,42.87769322075113,direction,108.6809633000859,54.34048165004295,1433.9848852686519,-0.8419010586564077,True,True
3,575.6658001445519,620.4425354832216,1264.270086619889,True,66.60321006774376,direction,38.030280956154606,19.015140478077303,569.0670156464191,0.2830246376641412,True,True
4,968.5174750153108,601.442988228508,1184.2887868681341,True,75.09002878921108,direction,45.26890079842402,22.63445039921201,967.2108538922491,-0.26315606442249617,True,True
5,851.6373835254295,575.3210878508158,1072.7652758949437,True,86.70750370516454,direction,36.76079686511849,18.380398432559247,849.3474617808162,-0.18964758464504872,True,True
6,966.6205285304986,607.2279788918084,1125.1438631801993,True,75.03795843331046,direction,44.68212176934963,22.341060884674814,960.0936237604539,-0.25788391702037217,True,True
7,1153.103099243561,676.7575288982663,1220.9230712827466,True,59.691076930688155,direction,64.02879233218354,32.01439616609177,1150.0899622727006,-0.43530011715215267,True,True
8,1209.6697743230795,692.5808671781625,1279.458842591801,True,55.752487083973485,direction,72.10926664662618,36.05463332331309,1212.0438912815341,-0.5096004189504537,True,True
9,1172.085914430123,680.1389878938272,1188.486849643626,True,58.35987163834616,direction,65.26709448588637,32.63354724294319,1160.0536992282773,-0.4467044043387638,True,True
10,585.5710842431012,616.4502774313358,1372.935201042599,True,67.42980884332371,direction,37.732200261761385,18.866100130880692,581.6947477557653,0.2775496794238279,True,True
11,386.9144952575138,717.8683443956733,1223.4066959768636,True,52.91606583655529,direction,43.833640693513466,21.916820346756733,381.1240928528768,0.36451034269492766,True,True
12,940.6047009912386,598.4621575845399,1002.8738097053161,True,77.5406888064669,direction,43.14417451987444,21.57208725993722,940.8400199014433,-0.24415820795205612,True,True
13,1288.5721726141248,729.2006429562922,1380.8687764069105,True,50.62638549722945,direction,87.43434727663919,43.71717363831959,1314.1180993878984,-0.6496095730536453,True,True
14,726.6558929195658,581.6326803673124,1099.7675413231038,True,80.90105497055646,direction,35.29853562925095,17.649267814625475,730.7648386620517,0.21291792167556878,True,True
15,1103.5509615291767,637.601291560391,1271.814639626971,True,63.661492822145135,direction,60.011030724954246,30.005515362477123,1116.3819869028496,-0.3982687735128376,True,True
16,1067.3821430374023,627.9483673424818,1115.270599836164,True,66.54231270461442,direction,54.313126738574155,27.156563369287078,1064.292207486577,-0.3457527379190335,True,True
17,881.8646866719064,593.6393600788584,1091.3995825990403,True,82.86250501495492,direction,38.23328122096061,19.116640610480307,872.4123788713796,-0.20172007994063268,True,True
18,1086.1869813059018,637.7322744958516,1375.7056522743744,True,64.95380049513027,direction,55.23564068870376,27.61782034435188,1073.1177390948837,-0.3542479128111289,True,True
19,1222.1940460295311,694.2755681594264,1315.8319676958024,True,54.90216426781239,direction,74.27225325836784,37.13612662918392,1227.5315009084457,-0.5294357177555771,True,True
20,1038.9468993598855,632.258742705837,1113.4819937445307,True,68.60942069561092,direction,51.54361499373648,25.77180749686824,1036.743522251492,-0.3202923301785461,True,True
21,119.534814072767,904.2846118153446,1263.879909616471,True,39.01182141179992,direction,54.797870626411424,27.398935313205712,122.13250868229909,0.4768003481895562,True,True
