objective,length,angle_fraction,a_m,b_m,travel_m,heading_deg,move_measure_time_s,mean_diameter_m,conservative_mean_m,observation_mass,true_bearing_mass,near_probability,near_diameter_m,n_true_grid,angle_step_deg
mean_diameter_m,600.8171679533389,0.31140190675325313,555.9980139258065,227.70041242393322,600.8171679533389,22.270796329955935,125.16343359066778,131.31111144645436,145.81981643368584,0.9999999150505474,0.9999802628079516,0.0,0.0,2049,0.07104572651515367
mean_diameter_m,474.80258691236963,0.583053273210554,342.20831771243644,329.13669474414803,474.80258691236963,43.884546410648404,99.96051738247392,139.6328560981407,155.76805612661806,1.0000000763974497,0.9999805005969244,0.0,0.0,2049,0.059099193748513745
mean_diameter_m,961.0531400124727,0.9511098263980797,518.7324763188207,809.0363131157819,961.0531400124727,57.33309171986558,197.21062800249453,75.70458855264278,79.80724478536168,0.9999999864566345,0.999993129440395,0.0,0.0,2049,0.040931954572547384
mean_diameter_m,208.0981886387853,0.2931272535322037,189.60504689215364,85.76002744733523,208.0981886387853,24.337657165152724,46.61963772775706,441.8680154322592,531.0383219284076,0.9999995477696018,0.999862147714546,0.0,0.0,2049,0.07446332843331023
mean_diameter_m,266.3913064346396,0.13482040793368688,261.52612642001867,50.67951601677431,266.3913064346396,10.967060973118276,58.27826128692792,549.2836694705525,649.117899558965,0.9999975139930012,0.9997445692797327,0.0,0.0,2049,0.08188952574503985
mean_diameter_m,59.9241363285866,0.8688057023284954,14.667380049306082,58.10137758449665,59.9241363285866,75.8320054668518,16.98482726571732,670.4738788982858,810.6719398611186,1.0000000182892588,0.999977926895037,0.0,0.0,2049,0.047963905348498016
mean_diameter_m,901.9786670874417,0.8392657547819552,552.8750218543057,712.6673319932935,901.9786670874419,52.19630712669857,185.39573341748837,74.89729619160678,79.06497929922573,0.999999991527047,0.9999945706443968,0.0,0.0,2049,0.04473322861424813
mean_diameter_m,763.0497496913856,0.05412291414367487,761.5414841185515,47.95298187391722,763.0497496913856,3.6030614966365184,157.6099499382771,279.76282396668233,315.0835279433687,1.0000009310497322,0.9998790358286067,0.0,0.0,2049,0.08529800019323751
mean_diameter_m,31.28403261612823,0.44051423281485547,24.377086746163336,19.607354194204856,31.28403261612823,38.810952285129744,11.256806523225645,1025.803209556942,1163.1909075946223,0.9999979896368171,0.9995812896060908,0.0,0.0,2049,0.06594026697145798
mean_diameter_m,449.7122676003789,0.7345017705096818,252.60545874350746,372.06398084638204,449.7122676003789,55.82623420967432,94.94245352007577,144.68097865118074,161.74422725384107,1.0000000276280079,0.9999894690077187,0.0,0.0,2049,0.05280715167948327
mean_diameter_m,546.2976483289326,0.18592423988981988,530.979925592792,128.4579276930588,546.2976483289326,13.600037150001524,114.25952966578652,205.43081103497272,234.94540959430216,1.0000001176939322,0.9999731984046504,0.0,0.0,2049,0.07825093286518499
mean_diameter_m,695.1287926714143,0.6199822457094838,511.93707581948746,470.2387359652653,695.1287926714143,42.568963736063516,144.02575853428286,90.2200079072834,97.11501231938901,0.9999999837719598,0.9999946982373324,0.0,0.0,2049,0.05515176377417441
mean_diameter_m,883.2609174560102,0.04791974119244358,882.0431844188406,46.364524428748915,883.2609174560102,3.0089784413134786,181.65218349120204,249.32061458125173,279.04437977005375,1.000000852782263,0.9998678151820658,0.0,0.0,2049,0.0855019340433772
mean_diameter_m,195.12198299809074,0.5069232796709213,144.36860470004302,131.26421532950224,195.12198299809074,42.278040891182194,44.02439659961815,352.52866083985987,421.9710126816823,0.9999999972288054,0.9999803619534074,0.0,0.0,2049,0.06460015578672387
mean_diameter_m,568.3147783288241,0.7864610981788196,309.42862810748676,476.6923655508437,568.3147783288242,57.011753918974065,118.66295566576484,115.21190308716045,126.24661030574775,0.9999999551193302,0.9999889557367272,0.0,0.0,2049,0.049725525929338044
mean_diameter_m,848.3545927042921,0.37443096288344674,775.4515146097209,344.0646210408087,848.3545927042921,23.92666270901427,174.67091854085842,75.27703786534038,79.8311983750766,0.9999999965860052,0.9999895748524025,0.0,0.0,2049,0.06457304650678271
mean_diameter_m,372.56864050524666,0.9069132664747244,121.42779435364207,352.2253293650775,372.56864050524666,70.978641496708,79.51372810104934,177.0179423189457,201.12033797919355,1.0000000005252982,0.9999965499613871,0.0,0.0,2049,0.046380341884626655
mean_diameter_m,125.53737293608344,0.6927739679887406,64.34869769898766,107.79089529332984,125.53737293608344,59.1637651993356,30.10747458721669,442.6052485741978,536.4285250706928,1.0000001521522597,0.9999469842095976,0.0,0.0,2049,0.056446584343952284
mean_diameter_m,303.6786953728998,0.20457692776955444,291.2922699967882,85.84616161194833,303.6786953728999,16.420666911047054,65.73573907457998,387.34678055236077,460.54938103082935,1.0000012321645702,0.9998717094823184,0.0,0.0,2049,0.07836807356006519
mean_diameter_m,711.7767004119078,0.473922693103536,601.6454638679286,380.32723680589555,711.7767004119078,32.298827184231456,147.35534008238156,89.3548833752624,96.19617736720281,0.9999999898207589,0.9999959254362873,0.0,0.0,2049,0.061509050418464106
mean_diameter_m,901.9786670874417,0.8619895811138433,535.129957094497,726.0863894199367,901.9786670874417,53.609566051603885,185.39573341748834,75.8752588225838,80.15661527716755,1.0000000037786023,0.9999966611427196,0.0,0.0,2049,0.044030275275196304
mean_diameter_m,702.2885205599648,0.784389925852147,415.9048211464223,565.8907543488112,702.2885205599648,53.685749348745986,145.45770411199297,93.00319892175568,100.07925933582908,1.0000000085631515,0.9999925657177067,0.0,0.0,2049,0.0485924702915231
