policy,a_m,b_m,travel_m,heading_deg,move_measure_time_s,adaptive_mean_m,guaranteed_clear_probability,observation_mass,true_bearing_mass,conservative_mean_m,D_mass_before_normalization,D_mean_m,D_std_m,D_rms_m,D_min_positive_weight_m,D_max_positive_weight_m,D_q1_m,D_q5_m,D_q10_m,D_q25_m,D_q50_m,D_q75_m,D_q90_m,D_q95_m,D_q99_m,D_q99.9_m,D_prob_D_le_10,D_prob_D_le_20,D_prob_D_le_30,D_prob_D_le_40,D_prob_D_le_50,D_prob_D_le_60,D_prob_D_le_80,D_prob_D_le_100,D_prob_D_le_120,D_prob_D_le_150,D_prob_D_le_200,D_prob_D_le_500,D_cvar90_m,D_cvar95_m,D_cvar99_m,worst_mass_before_normalization,worst_mean_m,worst_std_m,worst_rms_m,worst_min_positive_weight_m,worst_max_positive_weight_m,worst_q1_m,worst_q5_m,worst_q10_m,worst_q25_m,worst_q50_m,worst_q75_m,worst_q90_m,worst_q95_m,worst_q99_m,worst_q99.9_m,worst_prob_D_le_10,worst_prob_D_le_20,worst_prob_D_le_30,worst_prob_D_le_40,worst_prob_D_le_50,worst_prob_D_le_60,worst_prob_D_le_80,worst_prob_D_le_100,worst_prob_D_le_120,worst_prob_D_le_150,worst_prob_D_le_200,worst_prob_D_le_500,worst_cvar90_m,worst_cvar95_m,worst_cvar99_m
mean_optimum,864.8772502049685,501.9834081699237,1000.0,30.13130821330483,205.0,61.198126661961844,0.24398939532252895,0.9999999999998825,0.9999999986353856,63.64802313599868,0.9999999999998825,61.19812660047307,23.560881759719027,65.57686976901985,0.004029859441528062,112.05207810336931,34.90796777001476,35.15639228007288,35.88651528210647,40.22809076876229,53.813113622550766,80.43400741813731,99.1680952570045,105.55677076940813,110.74429702299845,111.92275149178424,4.137972469478438e-05,0.00032157199325975574,0.0010852667395997045,0.24399373343692168,0.4440954465926319,0.5761647054145438,0.7465939780533709,0.9065495805835512,1.0,1.0,1.0,1.0,105.57452713100247,108.79454635771681,111.39779526839223,0.9999999986353856,63.64797806537428,25.46528705658066,68.55323447281259,34.92077942045542,112.05207810336931,34.96212895570587,35.328020521802905,36.182034101236816,40.86881402785676,55.495441854806,84.9157979355813,105.66377341151258,112.05207810336931,112.05207810336931,112.05207810336931,0.0,0.0,0.0,0.22797846485718992,0.42408750175146326,0.5520822686171523,0.7146902048635477,0.8587762266569668,1.0,1.0,1.0,1.0,110.55385717753789,112.0520781033499,112.05207810327228
conservative_optimum,865.4479729711042,500.99880846186363,1000.0000000000001,30.066102665888256,205.00000000000003,61.19824040165511,0.24384101860123236,0.9999999999998757,0.999999998585426,63.647895860648426,0.9999999999998759,61.19824034410479,23.559367018618925,65.57643170783848,0.00392330510742608,112.07006355592826,34.907982384542294,35.15696834643885,35.88831683415273,40.233932373569246,53.81910199912428,80.42095547319303,99.17376433400577,105.56995205639241,110.76054663527,111.94056357076876,4.1374294372472064e-05,0.00032263529689001137,0.001085263872053495,0.24384101860126267,0.44396525199975845,0.57618812124288,0.7467339557646102,0.9064924465448143,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,105.58635310988073,108.80965829346101,111.41558351844589,0.999999998585426,63.64782471950876,25.463644696488636,68.55248203204843,34.92077941149093,112.07006355592826,34.96220575128432,35.32868594644163,36.18402406506927,40.874991596882616,55.50151589629481,84.89780509211275,105.66675204601765,112.07006355592826,112.07006355592826,112.07006355592826,0.0,0.0,0.0,0.22783107037498257,0.42395595721361246,0.5520683688366335,0.71486875857465,0.8587725080165362,1.0,1.0,1.0,1.0,110.5675908510102,112.0700635559285,112.07006355592951
original_35deg_1000m,818.1818181818181,574.959574576069,1000.0,35.096801227584606,205.0,61.78525561065161,0.2515119848548762,1.000000000000012,0.9999999987176211,64.3087111985251,1.000000000000012,61.78525493301008,23.98131821091701,66.27609938937495,0.01666496019847453,111.77521882369352,34.906906350274355,35.12536162218603,35.78714332486935,39.942986276756955,54.20957979386175,82.13673229706626,99.70215422526066,105.69293867805824,110.55162533122102,111.65224208148771,3.961771786600536e-05,0.00030625480312487124,0.0010273833146331045,0.25151198485487314,0.4441789538136718,0.5608868713091593,0.7314975769356885,0.9025145279232246,1.0,1.0,1.0,1.0,105.70769439308569,108.72522774139395,111.16273374712905,0.9999999987176211,64.30868245392628,25.921469409127713,69.33634844212861,34.9207776418717,111.77521882369352,34.95856239372642,35.28899131020656,36.07424592049262,40.584013586137246,55.993751036898296,86.88528958612594,106.28919619782177,111.77521882369352,111.77521882369352,111.77521882369352,0.0,0.0,0.0,0.23512290217393902,0.42499138379942775,0.5407345206647974,0.6972001137966091,0.8510403676447368,1.0,1.0,1.0,1.0,110.59468378768035,111.77521882369328,111.77521882369227
45deg_1000m,707.1067811865474,707.1067811865474,999.9999999999999,45.0,204.99999999999997,65.64595806764522,0.2422619512447602,0.9999999999999519,0.999999998754254,68.5733245534184,0.999999999999952,65.64595806112007,25.92215816553733,70.5786801642073,0.00903400700217769,116.02781994208354,34.90638741721429,35.10941864532443,35.75453624793586,40.34275518208439,60.98953115427158,88.3196548356605,104.78515708099279,110.37601380549998,114.89313974132439,115.91826406066473,3.5968169848570354e-05,0.00027372644206003383,0.0009117804449949979,0.24226195124477182,0.39287932421974436,0.49068387150945914,0.6731391903805226,0.8567656080753563,1.0,1.0,1.0,1.0,110.385491910287,113.1960443594211,115.46127132468436,0.999999998754254,68.57316841398683,28.050467772580973,74.08851576724697,34.92078188698878,116.02781994208354,34.956299722081184,35.269680847971976,36.04598328634327,41.07270381610039,63.40672794639851,93.97431365783103,112.05541477669978,116.02781994208354,116.02781994208354,116.02781994208354,0.0,0.0,0.0,0.2267317011803181,0.37791639313019354,0.47031083033557675,0.6363315412187601,0.7995393106034574,1.0,1.0,1.0,1.0,115.361016682866,116.02781994207399,116.02781994203586
59deg_1000m,515.0380749100542,857.1673007021124,1000.0000000000001,59.00000000000001,205.00000000000003,75.48954099206892,0.17753065351076347,0.9999999999999221,0.9999999986978838,79.47410590722333,0.9999999999999221,75.48952929530172,29.762024676997832,81.14460638946031,0.006640947043928185,129.0493732706849,34.90886231870382,35.19065140032705,36.18754864623713,47.024354262871,74.19896122204925,101.57749180476691,117.9785553041768,123.49337019161734,127.93559589698224,128.93951381030527,3.225834868202441e-05,0.00023811810965152587,0.0007861912114940982,0.17753380197506052,0.27906156146916794,0.3728951488666313,0.5519802264881575,0.7355194553587173,0.9183693866680085,1.0,1.0,1.0,123.50202022993018,126.26999285739495,128.49416435279585,0.9999999986978838,79.47391274115844,32.31568501679785,85.79281033101877,34.9207717709245,129.0493732706849,34.96306551203566,35.38059873183458,36.57226914201871,48.41537361456302,77.84653012993829,109.18338529951046,127.03814408830635,129.0493732706849,129.0493732706849,129.0493732706849,0.0,0.0,0.0,0.1665241351420687,0.26464101021299874,0.3531841070542169,0.5170132333072328,0.6751868857471235,0.8401156316365939,1.0,1.0,1.0,128.8758126166327,129.04937327068518,129.04937327068635
original_35deg_750m,613.6363636363636,431.2196809320518,750.0,35.096801227584606,155.0,82.73400435594233,0.27350428851851716,0.9999999999997862,0.9999999977713925,88.51370293909115,0.9999999999997863,82.73400429696719,45.230100073219276,94.29038879781977,0.0037184952439678134,166.97127764601797,26.19657200518277,26.71426774432088,28.19434400918029,37.643384047617026,76.98308524151902,123.09136831995252,149.39598962500784,158.14875266580574,165.20176780780264,166.80094451396178,2.6871406514618097e-05,0.00020003384174355538,0.14076866503203705,0.2735042885185756,0.34500448380407095,0.4049902873366755,0.5163663067980288,0.6234001832498508,0.732500706188417,0.9034827423517919,0.9999999999999999,0.9999999999999999,158.16431647347642,162.5577461388062,166.08914927348548,0.9999999977713925,88.51338007989486,49.6659951602175,101.49546555596794,26.190581035450208,166.97127764601797,26.2505294911109,26.899601224203654,28.52142171883978,38.553311126666024,81.99800479464727,135.09979352090838,164.13373824745602,166.97127764601797,166.97127764601797,166.97127764601797,0.0,0.0,0.13225629737380476,0.26392846792265495,0.3344502423726572,0.390419781077522,0.49058720915922327,0.5832448004202915,0.6764176056609925,0.8254781196933141,1.0,1.0,166.75335834559914,166.97127764601834,166.97127764601984
mean_angle_750m,648.6579376537263,376.48755612744276,749.9999999999999,30.13130821330483,154.99999999999997,84.41775088789676,0.27549665991123895,1.0000000000000402,0.9999999976556243,90.50103842013522,1.00000000000004,84.41775221214436,47.690723937820835,96.95752698096442,0.016256986979047292,174.44930519136446,26.200326777356906,26.779674990963503,28.360034204415456,37.66021830785113,76.7720786770785,127.11693501104394,155.53724170181215,164.96603726547693,172.55015072801345,174.26561594683508,2.43478786559297e-05,0.00018286193798913383,0.13640191125593149,0.27549665991122796,0.35727439284169904,0.41325534914700346,0.5161438606252736,0.6146541420933945,0.713105849629994,0.8706068149261873,1.0000000000000002,1.0000000000000002,164.97444939925708,169.70161868343547,173.50097638821586,0.9999999976556242,90.50062220769291,52.49073931615392,104.62141431817861,26.190586897230506,174.44930519136446,26.2566054638763,26.968194574134944,28.684598149194724,38.52446429552369,81.833646183913,139.92812132653796,171.33269507472335,174.44930519136446,174.44930519136446,174.44930519136446,0.0,0.0,0.12823677947249656,0.26548258169252226,0.3461426817439829,0.3997294049408001,0.4920728138562105,0.5769792587836219,0.6612742231874496,0.7965614255070355,1.0,1.0,174.2048825238973,174.44930519136412,174.44930519136258
