variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
eighth,1012007,mixed,900.0,13,True,520.9445715906556,6772.279430678523,26161.397153392616,248,235,0,0,21,0.3989667999994708,1203.5628993846155,4622.077006,0,0
eighth,1012008,mixed,100.0,14,True,438.1021753275799,6133.430454586119,22872.152272930587,250,239,0,0,21,0.4076370000002498,1313.8332673571429,3919.047933,0,0
eighth,1012008,mixed,300.0,14,True,423.73437993848614,5932.281319138806,21836.40659569402,251,240,0,0,21,0.381481000000349,1284.9993937857143,4367.302745,0,0
eighth,1012008,mixed,900.0,14,True,438.7204636373931,6142.086490923503,22915.43245461751,250,239,0,0,21,0.4066800000000512,1313.6006534285714,3918.335702,0,0
eighth,1012009,mixed,100.0,15,True,390.1805175384654,5852.707763076981,22948.538815384905,200,188,0,0,21,0.37168430000019725,964.5437325333334,3021.808311,0,0
eighth,1012009,mixed,300.0,15,True,369.2217316917972,5538.325975376958,21181.62987688479,206,197,0,0,21,0.3452932000000146,1105.3757886,5057.446067,0,0
eighth,1012009,mixed,900.0,15,True,389.7338467887041,5846.007701830562,22945.038509152808,199,187,0,0,21,0.3632971000006364,963.3515128666667,3017.341131,0,0
eighth,1012010,mixed,100.0,16,True,391.2160879282153,6259.457406851445,23472.28703425723,186,147,136,136,10,0.30603029999838327,1283.797426375,2944.793395,0,0
eighth,1012010,mixed,300.0,16,True,375.3551802937035,6005.682884699256,23708.41442349629,199,189,0,0,20,0.36243069999909494,1413.3734143125,5377.198488,0,0
eighth,1012010,mixed,900.0,16,True,336.07265650224394,5377.162504035903,21720.812520179516,159,149,3,3,10,0.28634189999866067,1285.2654636875,2949.213597,0,0
eighth,1012011,mixed,100.0,10,True,593.1150697229098,5931.150697229098,21325.75348614549,272,256,0,0,21,0.29350630000044475,858.4022615,3586.449626,0,0
eighth,1012011,mixed,300.0,10,True,605.9524915198294,6059.524915198294,21937.62457599148,273,257,0,0,21,0.301606000000902,877.0205361,3768.343242,0,0
eighth,1012011,mixed,900.0,10,True,605.9693350986726,6059.693350986726,21938.466754933637,273,257,0,0,21,0.30089009999937844,877.1995104,3776.401968,0,0
