variant,cases,layouts,movement_seconds_per_source,measurement_seconds_per_source,switching_seconds_per_source,successful_clear_seconds_per_source,failed_clear_seconds_per_source
fifth,42,14,344.6877246938706,94.1446911223697,17.913965201465203,5.0,0.0743699752628324
eighth,42,14,348.6850369668587,92.5704915124558,17.466984305377164,5.0,0.6857939679368251
boundary,42,14,337.7503669668014,91.86096641453784,17.476480463980465,5.0,0.08397881880024737
reliable,42,14,340.38126271349836,91.63880018790734,17.29091255966256,5.0,0.6777698491984206
integrated,42,14,327.111184493904,90.60721371882086,17.036134500420214,5.0,0.8925190880548024
