variant,cases,layouts,mean_seconds_per_source,mean_distance_m,mean_measures,mean_program_seconds
integrated,14,7,445.19419229314553,20784.505528031368,228.5,8.379794142857333
expanded,14,7,446.7628687322135,20896.192931944843,228.07142857142858,23.211825807142564
free,14,7,452.9994229117478,21275.329972125768,230.21428571428572,7.752149085713556
no_sensing,14,7,508.2041556879051,25029.917691290757,219.78571428571428,7.93636980714291
