comparator,cases,layouts,saved_seconds_per_source,ci95_low,ci95_high,faster,slower,bootstrap_draws
fifth,42,14,21.173699191768478,2.185688428346828,44.06914884776263,30,12,5000
eighth,42,14,23.761254951428672,6.921230887495087,41.95662583476454,33,9,5000
boundary,42,14,11.524740862920089,-0.17908740216293925,23.66611764537219,32,10,5000
reliable,42,14,14.341693509066856,-3.160553314565046,37.1608766594739,30,12,5000
